Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13531561,"Attack on Titan, Vol. 2 (Attack on Titan, #2)",Hajime Isayama,"Isayama, Hajime",,"=""1612620256""","=""9781612620251""",4,4.48,Kodansha Comics,Paperback,189,2012,2010,,2013/06/10,comic-manga,comic-manga (#8),read,"<br/>Well, this is the second volume in the series, and I could pretty much predict where the plot was going, but there is still a lot of cliff-hangers to be solved. Was a litle bit of a let down after the hipe and impression set by volume 1, but overall keeps up the pace quite well and get to see some character development. Looks to me that sometimes the world and world building are sometimes way more compeling than the action, but hopefully this is just temporal.<br/>",,,1,,,0,,,,,
13154150,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",Hajime Isayama,"Isayama, Hajime",Sheldon Drzka,"=""1612620248""","=""9781612620244""",5,4.42,Kodansha Comics,Paperback,193,2012,2010,2013/06/11,2013/06/10,comic-manga,comic-manga (#7),read,"Just finished the first volume and i still Dont quite get who is gonna have the leading role, so many misteries have been introduced and the plot is quite compelling have to say. Really liking this so far. ",,,1,,,0,,,,,
7923163,Mogworld,Yahtzee Croshaw,"Croshaw, Yahtzee",,"=""1595825290""","=""9781595825292""",4,3.89,Dark Horse Books,Mass Market Paperback,413,2010,2010,2013/06/11,2013/04/08,"zombies, fantasy, gaming","zombies (#6), fantasy (#24), gaming (#11)",read,,,,1,,,0,,,,,
12578077,"Obsidian (Lux, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,4.19,Entangled Teen,Paperback,335,2012,2011,,2013/06/10,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0765342405""","=""9780765342409""",0,4.30,Starscape,Paperback,469,2002,1999,,2013/06/10,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
334123,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"Stroud, Jonathan",,"=""078681859X""","=""9780786818594""",4,4.00,Hyperion Books for Children,Hardcover,462,2003,2003,,2013/06/10,,,read,,,,1,,,0,,,,,
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Παυλίνα Παμπούδη, Marisa Sestino","=""0192833596""","=""9780192833594""",5,3.78,Oxford University Press,Paperback,505,1998,1861,,2013/06/10,,,read,,,,1,,,0,,,,,
366522,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,"Ahern, Cecelia",,"=""0786890754""","=""9780786890750""",3,4.02,Hachette Books,Paperback,501,2005,2004,,2013/06/10,,,read,,,,1,,,0,,,,,
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""""","=""""",3,4.15,David Fickling Books,Hardcover,240,2006,2006,,2013/06/10,,,read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2013/06/10,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.57,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2013/06/10,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""0545010225""","=""9780545010221""",5,4.62,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,,2013/06/10,,,read,,,,1,,,0,,,,,
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140605""","=""9781423140603""",2,4.45,Disney-Hyperion Books,Hardcover,586,2012,2012,,2013/06/10,,,read,,,,1,,,0,,,,,
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.53,Del Rey,Mass Market Paperback,404,2003,1955,,2013/06/10,,,read,,,,1,,,0,,,,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",5,4.41,Bantam,Paperback,969,2002,1998,,2013/06/04,,,read,,,,1,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",5,4.14,Bantam Books,Mass Market Paperback,1061,2011,2005,,2013/06/04,,,read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",3,3.99,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,,2013/06/04,,,read,,,,1,,,0,,,,,
1179967,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""0553381709""","=""9780553381702""",5,4.54,Bantam Spectra,Paperback,973,2002,2000,,2013/06/04,,,read,,,,1,,,0,,,,,
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.32,Bantam,Kindle Edition,1125,2011,2011,,2013/06/04,,,read,,,,1,,,0,,,,,
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",5,4.07,Tor Books,Paperback,382,1994,1986,,2013/06/04,,,read,,,,1,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618346252""","=""9780618346257""",5,4.36,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2013/06/04,,,read,,,,1,,,0,,,,,
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.23,Bantam Spectra,Mass Market Paperback,482,1990,1989,,2013/05/10,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.63,Tor Books,Hardcover,1007,2010,2010,,2013/05/10,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
7286699,The Thing Beneath the Bed (The Adventures of the Princess and Mr. Whiffle #1),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""1596063130""","=""9781596063136""",0,4.29,Subterranean Press,Hardcover,72,2010,2010,,2013/04/29,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
11904233,"The Tiny Book of Tiny Stories, Vol. 1",Joseph Gordon-Levitt,"Gordon-Levitt, Joseph",wirrow,"=""0062121669""","=""9780062121660""",0,4.09,It Books,Hardcover,87,2011,2011,,2013/04/02,,,read,,,,1,,,0,,,,,
10629592,Growing Dread: Biopunk Visions,Caroline Dombrowski,"Dombrowski, Caroline","Minerva Zimmerman, Lillian Cohen-Moore, Angel Leigh McCoy, Jeremy Zimmerman, Michael Hacker, Berit Ellingsen, Michaela Hutfles, R.S. Hunter, Mae Empson, Christine Danse, Erik Scott de Bie","=""0983098743""","=""9780983098744""",0,4.07,Timid Pirate Publishing,Paperback,160,2011,2011,,2013/04/26,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
